BSN,Batch Name,Vendor Filename,Submitted,Sent to Vendor,Returned from Vendor,Loaded to Aleph
004123987NYU01,tp_20160121_bk_gre_14r,D160208.T110602.GRK_14r_mod.mrc,2016-04-06_20:03:34,2016-04-06_20:04:10,2016-04-06_20:09:31,2016-04-06_20:17:25
004124050NYU01,tp_20160121_bk_gre_14r,D160208.T110602.GRK_14r_mod.mrc,2016-04-06_20:03:34,2016-04-06_20:04:10,2016-04-06_20:09:31,2016-04-06_20:17:25
004190526NYU01,tp_20160121_bk_gre_14r,D160208.T110602.GRK_14r_mod.mrc,2016-04-06_20:03:34,2016-04-06_20:04:10,2016-04-06_20:09:31,2016-04-06_20:17:25
004225867NYU01,tp_20160121_bk_gre_14r,D160208.T110602.GRK_14r_mod.mrc,2016-04-06_20:03:34,2016-04-06_20:04:10,2016-04-06_20:09:31,2016-04-06_20:17:25
004225871NYU01,tp_20160121_bk_gre_14r,D160208.T110602.GRK_14r_mod.mrc,2016-04-06_20:03:34,2016-04-06_20:04:10,2016-04-06_20:09:31,2016-04-06_20:17:25
004225873NYU01,tp_20160121_bk_gre_14r,D160208.T110602.GRK_14r_mod.mrc,2016-04-06_20:03:34,2016-04-06_20:04:10,2016-04-06_20:09:31,2016-04-06_20:17:25
004225874NYU01,tp_20160121_bk_gre_14r,D160208.T110602.GRK_14r_mod.mrc,2016-04-06_20:03:34,2016-04-06_20:04:10,2016-04-06_20:09:31,2016-04-06_20:17:25
004226448NYU01,tp_20160121_bk_gre_14r,D160208.T110602.GRK_14r_mod.mrc,2016-04-06_20:03:34,2016-04-06_20:04:10,2016-04-06_20:09:31,2016-04-06_20:17:25
004226452NYU01,tp_20160121_bk_gre_14r,D160208.T110602.GRK_14r_mod.mrc,2016-04-06_20:03:34,2016-04-06_20:04:10,2016-04-06_20:09:31,2016-04-06_20:17:25
004226672NYU01,tp_20160121_bk_gre_14r,D160208.T110602.GRK_14r_mod.mrc,2016-04-06_20:03:34,2016-04-06_20:04:10,2016-04-06_20:09:31,2016-04-06_20:17:25
004226675NYU01,tp_20160121_bk_gre_14r,D160208.T110602.GRK_14r_mod.mrc,2016-04-06_20:03:34,2016-04-06_20:04:10,2016-04-06_20:09:31,2016-04-06_20:17:25
